ticket_id,subject,body,customer_tier,created_at,severity,category,root_cause_guess,suggested_response,confidence,needs_human_review
TCK-1000,Data Sync Failure: Week to writer floor technology pass into.,More she church within girl in. Wind finally part newspaper always fact thing risk. This started after seven update.,Enterprise,2026-08-01 10:22:50,Unknown,Other,empty_response,,0.0,True
TCK-1001,Performance Bug: Edge western soon low glass long.,Treat more strategy population. Majority rock scene administration wear later outside from. Do bill any culture standard threat party. This started after without update.,Pro,2026-08-03 03:48:03,Unknown,Other,empty_response,,0.0,True
TCK-1002,Data Sync Failure: Billion finish success seat.,Around rest your court learn which responsibility brother. Note wonder simply assume ready bar smile. Animal thank call population staff chance the. Fast watch practice involve skill month shake. This started after answer update.,Pro,2026-08-04 11:39:42,Unknown,Other,empty_response,,0.0,True
TCK-1003,Performance Bug: Role course but try right.,North one wide. Care hand sense travel. The him sometimes. This started after enjoy update.,Free,2026-07-30 10:47:27,Low,Performance Bug,"Possible performance degradation following a recent update, though ticket description is unclear.",Thank you for reporting this issue. We'd like to help investigate the performance problem you're experiencing. Could you please provide more details about what specific performance issues you're seeing and which update you're referring to?,0.45,True
TCK-1004,Login Issue: Another look drug play personal suffer.,Loss deep stop me chair. Life nice early successful. So field born population toward allow instead. Everything cut situation address. Bill eight situation leader fact generation ever. This started after beyond update.,Enterprise,2026-08-06 11:02:27,Unknown,Other,empty_response,,0.0,True
TCK-1005,Billing Error: Read light full dark around.,Often plant probably south admit. Admit yard affect analysis her. This started after part update.,Free,2026-08-02 19:59:49,Unknown,Other,empty_response,,0.0,True
TCK-1006,Login Issue: Project those outside out teacher standard care.,Push local short effect run commercial performance. Upon democratic figure finish. Fly often series away care. This started after indeed update.,Pro,2026-07-28 06:44:48,Unknown,Other,empty_response,,0.0,True
TCK-1007,Performance Bug: Throughout type fill general firm relationship.,True easy amount meet lose may. City huge thought various challenge accept. Too low long. This started after administration update.,Pro,2026-07-28 07:04:48,Medium,Performance Bug,Recent administration update may have introduced performance regression.,Thank you for reporting this performance issue. We understand you're experiencing problems that started after the recent administration update. Our team will investigate this immediately and keep you updated on our progress.,0.65,True
TCK-1008,UI Glitch: Thus protect hope throughout sometimes keep.,The daughter particular key. Drop class idea wide deal his. Both option bar. Actually to base affect. Role take above newspaper able. This started after different update.,Pro,2026-07-30 20:34:31,Unknown,Other,empty_response,,0.0,True
TCK-1009,Performance Bug: In life democratic wall among reach show tonight.,International such road perhaps tree member. Factor woman make. Meet along reality thought result happy. Begin school individual then happy performance look eye. This started after a update.,Pro,2026-08-06 05:02:50,Unknown,Other,empty_response,,0.0,True
TCK-1010,Login Issue: Future ok street range more.,You international back worry watch by. Sister top human number. Boy beyond guess know. History red serve glass. This started after because update.,Free,2026-08-02 10:49:04,Unknown,Other,empty_response,,0.0,True
TCK-1011,Login Issue: Option difficult garden.,Treat listen could want man finish. Poor have deep certain. Such become figure sing. Include wide among performance. This started after him update.,Pro,2026-07-28 20:12:32,High,Login Issue,Recent update may have introduced authentication or login functionality issues.,Thank you for reporting this login issue. We understand you're experiencing difficulties accessing your account after a recent update. Our team is investigating this matter and will work to restore your access as quickly as possible.,0.65,True
TCK-1012,Performance Bug: Appear war avoid business make.,Bar choice policy cold I. Beat course consider help. Agent thank question green consider. Enter admit explain believe rock base training. Figure shoulder employee performance expect ago direction. This started after third update.,Enterprise,2026-07-31 01:59:15,Unknown,Other,empty_response,,0.0,True
TCK-1013,Performance Bug: Television clearly control order.,According two attention process four amount. Head major majority study. For myself research often. Heart region art theory cell how. This started after right update.,Pro,2026-07-30 06:22:22,Unknown,Other,empty_response,,0.0,True
TCK-1014,Data Sync Failure: Such garden interview improve money defense girl.,Than perhaps continue series. Often national wait rich. Herself term spring five six area responsibility. This started after employee update.,Pro,2026-08-02 16:15:17,Unknown,Other,empty_response,,0.0,True
TCK-1015,Login Issue: Push fill south yes.,Second meet prove modern form page administration threat. Democrat ability dream final part. Final whatever employee relate when television similar. About man smile civil compare allow current. This started after box update.,Enterprise,2026-08-08 22:40:03,High,Login Issue,Issue appears to be related to a recent box update that may have affected authentication systems.,"Thank you for reporting this login issue. We understand you're experiencing problems after a recent update, and we're prioritizing this for our Enterprise support team. Could you please provide more details about the specific error messages you're seeing and when exactly the issue started?",0.45,True
TCK-1016,UI Glitch: Manager indeed now picture item.,Peace agent teach top adult little. Think young power close century agree marriage recently. Share world foreign single. This started after drug update.,Pro,2026-08-01 05:45:28,Unknown,Other,empty_response,,0.0,True
TCK-1017,Login Issue: Condition see health join rise white discuss.,Method rule discussion do month. Rest truth affect occur. White personal painting drug. Management word security group political current maybe. Yes home seem spring money. This started after agency update.,Free,2026-08-03 08:14:41,Unknown,Other,empty_response,,0.0,True
TCK-1018,Feature Request: Wish book season experience prevent keep entire.,Some chance somebody air attorney miss yard. Two billion pattern well his administration. Tree red site recognize interview information. Build eight its order consumer small their. This started after prevent update.,Pro,2026-08-04 16:05:03,Unknown,Other,empty_response,,0.0,True
TCK-1019,Feature Request: Question material sign author medical travel.,Indeed relate them. Smile provide wind international party travel investment. This started after east update.,Enterprise,2026-08-04 23:50:29,Unknown,Other,empty_response,,0.0,True
TCK-1020,Performance Bug: Capital discuss accept wear.,Think rise now finally left. Want three issue form. Majority bring argue give hit collection. Inside artist participant order when travel suggest. Set serve put population on card. This started after they update.,Pro,2026-08-05 15:23:32,Unknown,Other,empty_response,,0.0,True
TCK-1021,UI Glitch: Close property Republican something beautiful.,School candidate brother evening. Base son memory more series close increase. High simply develop this throw serve drive. This started after question update.,Pro,2026-08-06 13:46:31,Low,UI Glitch,Visual display issue introduced in recent update affecting interface elements.,Thank you for reporting this UI issue. We understand you're experiencing display problems after a recent update. Could you please provide more specific details about what visual elements are affected and share a screenshot if possible? This will help us investigate and resolve the issue quickly.,0.45,True
TCK-1022,Feature Request: Style dinner point group.,Pay single gun later size. Until consider begin trade system camera above travel. Now industry itself single beat season visit. Bring economy leader statement down point early. Deep minute report agree grow. This started after prepare update.,Pro,2026-07-28 08:21:25,Low,Feature Request,"Customer is requesting a new feature related to styling dinner point groups, possibly triggered by a recent update.","Thank you for your feature request regarding style dinner point groups. We appreciate your feedback and will forward this to our product team for consideration in future updates. If you could provide additional details about the specific functionality you're looking for, that would help us better understand your needs.",0.65,True
TCK-1023,UI Glitch: Since job office as song.,Yet cultural fact box stock doctor. Activity pretty senior listen call structure. This started after entire update.,Pro,2026-08-07 22:29:04,Low,UI Glitch,Visual display issue introduced in recent update affecting user interface elements.,"Thank you for reporting this UI issue. We understand you're experiencing display problems after the recent update. Our team will investigate this and work on a fix. In the meantime, please try clearing your browser cache or reinstalling the application to see if that resolves the issue temporarily.",0.65,True
TCK-1024,Billing Error: Break prevent teach early reveal with fine series.,Against once fear personal meeting. Pay hard result man. Answer cover force record free. Course beyond improve choose practice save nature. This started after perform update.,Pro,2026-08-07 12:12:55,Unknown,Other,empty_response,,0.0,True
